0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00870,0.08069,0.13855,0.13782,0.13821,0.13762,0.13793,0.13849,0.13772,0.13876,0.13813,0.13822,0.13773,0.13822,0.13796,0.13797,0.13772,0.13798,0.13863,0.13790,0.13861,0.13817,0.13820,0.13865,0.13874,0.13879,0.13805,0.13865,0.13821,0.13861,0.13821,0.13895,0.13837,0.13841,0.13815,0.13846,0.13812,0.13879,0.13749,0.13855,0.13761,0.13801,0.13922,0.13752,0.13818,0.13892,0.13796,0.13765,0.13876,0.13814,0.13820,0.13698,0.13796,0.13819,0.13760,0.13769,0.13841,0.13722,0.13891,0.13765,0.13764,0.13764,0.13686,0.13761,0.13808,0.13776,0.13717,0.13728,0.13802,0.13698,0.13848,0.13742,0.13726,0.09404,0.01156,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04343,0.12968,0.13785,0.13896,0.13779,0.13797,0.13777,0.13791,0.13874,0.13744,0.13860,0.13828,0.13842,0.13751,0.13799,0.13822,0.13758,0.13841,0.13775,0.13845,0.13782,0.13880,0.13791,0.13821,0.13873,0.13883,0.13784,0.13879,0.13819,0.13840,0.13859,0.13747,0.13897,0.13808,0.13777,0.13894,0.13771,0.13894,0.13859,0.13848,0.13749,0.13798,0.13799,0.13910,0.13790,0.13797,0.13842,0.13761,0.13868,0.13805,0.13806,0.13760,0.13803,0.13760,0.13783,0.13800,0.13821,0.13801,0.13762,0.13819,0.13797,0.13769,0.13729,0.13802,0.13739,0.13820,0.13685,0.13808,0.13742,0.13730,0.13788,0.13761,0.13700,0.13786,0.13758,0.13748,0.06809,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06921,0.13838,0.13880,0.13826,0.13838,0.13836,0.13857,0.13711,0.13797,0.13774,0.13817,0.13845,0.13791,0.13790,0.13811,0.13845,0.13798,0.13835,0.13793,0.13798,0.13834,0.13850,0.13835,0.13821,0.13872,0.13827,0.13866,0.13826,0.13870,0.13861,0.13779,0.13910,0.13749,0.13921,0.13755,0.13825,0.13872,0.13815,0.13823,0.13916,0.13783,0.13850,0.13747,0.13902,0.13795,0.13902,0.13732,0.13880,0.13805,0.13843,0.13801,0.13814,0.13816,0.13782,0.13712,0.13821,0.13785,0.13834,0.13815,0.13838,0.13688,0.13855,0.13739,0.13776,0.13753,0.13762,0.13784,0.13783,0.13780,0.13756,0.13753,0.13791,0.13733,0.13778,0.13704,0.13786,0.13664,0.13758,0.10330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00852,0.08686,0.13867,0.13796,0.13810,0.13863,0.13903,0.13812,0.13799,0.13843,0.13735,0.13815,0.13810,0.13724,0.13886,0.13768,0.13787,0.13923,0.13784,0.13812,0.13852,0.13827,0.13834,0.13845,0.13838,0.13839,0.13858,0.13856,0.13817,0.13904,0.13808,0.13822,0.13908,0.13851,0.13868,0.13818,0.13848,0.13818,0.13817,0.13884,0.13839,0.13898,0.13845,0.13847,0.13830,0.13809,0.13809,0.13855,0.13800,0.13845,0.13833,0.13836,0.13789,0.13845,0.13808,0.13746,0.13779,0.13854,0.13776,0.13883,0.13804,0.13764,0.13759,0.13805,0.13759,0.13739,0.13839,0.13709,0.13848,0.13722,0.13790,0.13797,0.13771,0.13719,0.13811,0.13739,0.13755,0.13724,0.13739,0.13817,0.13715,0.11071,0.01737,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02283,0.11205,0.13846,0.13857,0.13787,0.13870,0.13758,0.13833,0.13950,0.13843,0.13805,0.13792,0.13803,0.13795,0.13728,0.13882,0.13761,0.13783,0.13841,0.13905,0.13790,0.13837,0.13838,0.13808,0.13835,0.13806,0.13896,0.13825,0.13878,0.13834,0.13873,0.13812,0.13867,0.13756,0.13914,0.13826,0.13858,0.13843,0.13843,0.13817,0.13880,0.13861,0.13930,0.13830,0.13875,0.13819,0.13876,0.13782,0.13804,0.13938,0.13863,0.13821,0.13833,0.13803,0.13818,0.13721,0.13835,0.13786,0.13859,0.13817,0.13850,0.13735,0.13765,0.13824,0.13786,0.13728,0.13797,0.13733,0.13788,0.13825,0.13697,0.13879,0.13710,0.13731,0.13831,0.13768,0.13730,0.13716,0.13803,0.13735,0.13714,0.13713,0.13728,0.12897,0.03439,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05213,0.13873,0.13743,0.13799,0.13905,0.13822,0.13743,0.13926,0.13757,0.13910,0.13865,0.13829,0.13793,0.13800,0.13815,0.13812,0.13770,0.13861,0.13813,0.13784,0.13892,0.13835,0.13799,0.13892,0.13811,0.13800,0.13830,0.13828,0.13853,0.13826,0.13870,0.13919,0.13800,0.13830,0.13849,0.13843,0.13916,0.13832,0.13765,0.13880,0.13829,0.13889,0.13863,0.13927,0.13846,0.13823,0.13910,0.13843,0.13746,0.13878,0.13864,0.13865,0.13837,0.13848,0.13750,0.13812,0.13865,0.13775,0.13905,0.13875,0.13750,0.13799,0.13752,0.13840,0.13782,0.13787,0.13737,0.13805,0.13755,0.13803,0.13803,0.13785,0.13831,0.13685,0.13804,0.13716,0.13818,0.13733,0.13828,0.13765,0.13663,0.13737,0.13732,0.13769,0.13723,0.13725,0.06887,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08653,0.13869,0.13887,0.13752,0.13857,0.13804,0.13913,0.13714,0.13760,0.13903,0.13773,0.13849,0.13840,0.13845,0.13836,0.13824,0.13774,0.13904,0.13831,0.13821,0.13725,0.13885,0.13787,0.13826,0.13884,0.13858,0.13815,0.13838,0.13821,0.13845,0.13828,0.13911,0.13846,0.13855,0.13809,0.13910,0.13804,0.13989,0.13800,0.13884,0.13835,0.13892,0.13814,0.13924,0.13910,0.13894,0.13833,0.13887,0.13759,0.13821,0.13950,0.13805,0.13844,0.13825,0.13773,0.13836,0.13859,0.13821,0.13838,0.13927,0.13715,0.13822,0.13820,0.13865,0.13737,0.13850,0.13751,0.13751,0.13816,0.13792,0.13776,0.13785,0.13809,0.13722,0.13739,0.13736,0.13781,0.13818,0.13787,0.13709,0.13756,0.13685,0.13772,0.13798,0.13759,0.13720,0.13786,0.13734,0.11167,0.00861,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08662,0.13842,0.13852,0.13737,0.13893,0.13782,0.13852,0.13864,0.13802,0.13791,0.13842,0.13839,0.13764,0.13852,0.13836,0.13795,0.13842,0.13848,0.13874,0.13878,0.13858,0.13779,0.13815,0.13799,0.13854,0.13821,0.13857,0.13809,0.13834,0.13858,0.13822,0.13870,0.13822,0.13859,0.13867,0.13802,0.13893,0.13861,0.13889,0.13869,0.13828,0.13904,0.13828,0.13865,0.13850,0.13881,0.13910,0.13790,0.13873,0.13778,0.13880,0.13854,0.13880,0.13796,0.13788,0.13793,0.13859,0.13811,0.13884,0.13883,0.13816,0.13771,0.13866,0.13890,0.13666,0.13820,0.13789,0.13767,0.13746,0.13828,0.13802,0.13775,0.13817,0.13718,0.13724,0.13783,0.13866,0.13745,0.13764,0.13716,0.13745,0.13733,0.13788,0.13748,0.13780,0.13727,0.13753,0.13780,0.13681,0.13746,0.11202,0.00856,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08126,0.13858,0.13811,0.13875,0.13742,0.13821,0.13828,0.13870,0.13862,0.13850,0.13818,0.13770,0.13858,0.13780,0.13822,0.13891,0.13770,0.13917,0.13785,0.13925,0.13786,0.13875,0.13841,0.13886,0.13765,0.13865,0.13885,0.13779,0.13869,0.13853,0.13878,0.13782,0.13908,0.13861,0.13766,0.13900,0.13780,0.13886,0.13875,0.13886,0.13870,0.13837,0.13852,0.13838,0.13846,0.13873,0.13901,0.13892,0.13790,0.13911,0.13777,0.13929,0.13870,0.13912,0.13753,0.13802,0.13885,0.13807,0.13884,0.13819,0.13908,0.13748,0.13836,0.13864,0.13883,0.13797,0.13788,0.13808,0.13770,0.13791,0.13791,0.13877,0.13764,0.13777,0.13658,0.13803,0.13821,0.13710,0.13809,0.13721,0.13683,0.13822,0.13737,0.13851,0.13730,0.13750,0.13747,0.13799,0.13722,0.13725,0.13791,0.13711,0.10280,0.01152,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08594,0.13892,0.13923,0.13896,0.13803,0.13967,0.13761,0.13763,0.13847,0.13892,0.13823,0.13846,0.13805,0.13848,0.13834,0.13771,0.13903,0.13747,0.13928,0.13795,0.13856,0.13860,0.13863,0.13816,0.13901,0.13888,0.13867,0.13842,0.13876,0.13749,0.13862,0.13910,0.13782,0.13839,0.13933,0.13780,0.13786,0.13869,0.13866,0.13841,0.13963,0.13843,0.13753,0.13907,0.13863,0.13836,0.13820,0.13936,0.13733,0.13866,0.13857,0.13813,0.13907,0.13817,0.13782,0.13795,0.13851,0.13808,0.13809,0.13908,0.13786,0.13876,0.13837,0.13765,0.13888,0.13857,0.13795,0.13837,0.13762,0.13871,0.13843,0.13728,0.13892,0.13735,0.13730,0.13759,0.13802,0.13766,0.13701,0.13743,0.13767,0.13705,0.13875,0.13689,0.13810,0.13721,0.13764,0.13803,0.13751,0.13775,0.13745,0.13721,0.13764,0.13828,0.11219,0.00857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
